article_quality,revision_id,article_name,country,population
Stub,786431284,Benoît Lutgen,Belgium,11211064
Stub,786841917,Hervé Hasquin,Belgium,11211064
Start,786998779,Marguerite Legot,Belgium,11211064
Stub,787101520,Marc Hendrickx,Belgium,11211064
Stub,787102066,Karim Van Overmeire,Belgium,11211064
Stub,787100460,Wilfried Vandaele,Belgium,11211064
Stub,787101037,Karl Vanlouwe,Belgium,11211064
C,787293328,Mischaël Modrikamen,Belgium,11211064
Start,787525135,Jean Baptiste Smits,Belgium,11211064
Start,787588283,Jean Pede,Belgium,11211064
C,787754707,Hendrik Van der Noot,Belgium,11211064
Start,788441664,Sven Gatz,Belgium,11211064
Stub,788624618,Guido De Padt,Belgium,11211064
Start,788781134,Marie Arena,Belgium,11211064
Start,788781743,Nelly Maes,Belgium,11211064
Start,788781772,Théo Lefèvre,Belgium,11211064
C,788781078,Jean-Marie Dedecker,Belgium,11211064
Start,788781220,Raymond Langendries,Belgium,11211064
Start,788781797,Willy De Clercq,Belgium,11211064
Start,788781783,Ward Beysen,Belgium,11211064
Stub,788781658,Jean Defraigne,Belgium,11211064
Stub,788781760,Philippe Monfils,Belgium,11211064
Start,788781601,Anne André-Léonard,Belgium,11211064
Start,788781710,Magda Aelvoet,Belgium,11211064
Start,788781157,Mia De Vits,Belgium,11211064
Start,788834738,Wouter Van Bellingen,Belgium,11211064
Stub,789034860,Henri Julien Allard,Belgium,11211064
Start,789126197,Georges Theunis,Belgium,11211064
Start,789134466,André Cools,Belgium,11211064
Stub,789268836,Charles Magnette,Belgium,11211064
Start,789268773,Camille Gutt,Belgium,11211064
Start,789268737,Jacqueline Galant,Belgium,11211064
Start,789268870,Kris Peeters,Belgium,11211064
Start,789268468,Lucien Cooremans,Belgium,11211064
Stub,789268745,Jacques Gennen,Belgium,11211064
Stub,789269088,Herman Schueremans,Belgium,11211064
Start,789269132,Jan Van Rijswijck,Belgium,11211064
Start,789268794,Cécile Jodogne,Belgium,11211064
Start,789268783,Paul Hymans,Belgium,11211064
Stub,789269125,Pierre Van Halteren,Belgium,11211064
Stub,789268811,Charles Lemonnier,Belgium,11211064
Stub,789269261,Pierre Wigny,Belgium,11211064
Stub,789268562,Léon Dens,Belgium,11211064
Stub,789268833,Jan Frans Loos,Belgium,11211064
Start,789268446,Philippe Busquin,Belgium,11211064
Stub,789268716,Charles du Bois de Vroylande,Belgium,11211064
Start,789269215,Jules Anspach,Belgium,11211064
Stub,789268509,Charles de Kerchove de Denterghem,Belgium,11211064
Start,789268803,Paul Kronacker,Belgium,11211064
Stub,789269059,Charles Poswick,Belgium,11211064
Stub,789269128,Vincent Van Quickenborne,Belgium,11211064
Start,789269157,Herman Vanderpoorten,Belgium,11211064
Stub,789268540,Leopold De Wael,Belgium,11211064
Stub,789268524,Emile De Mot,Belgium,11211064
Start,789268845,Adolphe Max,Belgium,11211064
Stub,789268578,Victor Desguin,Belgium,11211064
Stub,789268691,Octave Dierckx,Belgium,11211064
Stub,789268749,Robert Gillon,Belgium,11211064
Stub,789268869,Jan Peeters (politician),Belgium,11211064
Stub,789269040,Jacques Planchard,Belgium,11211064
Start,789269054,Karel Poma,Belgium,11211064
Stub,789268859,Anne-Sylvie Mouzon,Belgium,11211064
Stub,789268730,Michel Foret,Belgium,11211064
Stub,789268503,Ernest Louis de Gonzague Vandenpeereboom,Belgium,11211064
Stub,789269162,Felix Vanderstraeten,Belgium,11211064
Stub,789268531,Camille de Tornaco,Belgium,11211064
Stub,789268564,André Denys,Belgium,11211064
Stub,789268760,Frans Grootjans,Belgium,11211064
Start,789269100,Frank Swaelen,Belgium,11211064
Stub,789268854,Jean-Baptiste Minne-Barth,Belgium,11211064
Start,789269093,Henri Simonet,Belgium,11211064
Stub,789269072,François de Robiano,Belgium,11211064
Stub,789269221,Yvan Ylieff,Belgium,11211064
Stub,789269218,Emmanuel de Bethune,Belgium,11211064
Stub,789268857,Roger Motz,Belgium,11211064
Stub,789269263,Alfred Vreven,Belgium,11211064
Stub,789268828,Hippolyte Lippens,Belgium,11211064
Start,789268792,Paul-Émile Janson,Belgium,11211064
Stub,789268515,Josse Joseph de Lehaye,Belgium,11211064
Start,789268549,Noël Delfosse,Belgium,11211064
Start,789269070,Jean-Joseph Raikem,Belgium,11211064
Stub,789269169,Geert Versnick,Belgium,11211064
Stub,789268867,Camille Paulus,Belgium,11211064
Start,789269076,Nicolas-Jean Rouppe,Belgium,11211064
Stub,789268573,Pierre Descamps,Belgium,11211064
Stub,789268541,August De Winter,Belgium,11211064
Start,789268452,Jos Chabert,Belgium,11211064
Stub,789269064,Edouard Pycke,Belgium,11211064
Start,789269140,Guillaume-Hippolyte van Volxem,Belgium,11211064
Stub,789268861,Auguste Orts,Belgium,11211064
Stub,789269148,Omer Vanaudenhove,Belgium,11211064
Start,789268704,Émile Digneffe,Belgium,11211064
Start,789269270,Inge Vervotte,Belgium,11211064
Stub,789268389,Hans Bonte,Belgium,11211064
Stub,789268488,Louis de Brouchoven de Bergeyck,Belgium,11211064
Stub,789269122,Tinne Van der Straeten,Belgium,11211064
Start,789268729,André-Napoléon Fontainas,Belgium,11211064
C,789332316,August Borms,Belgium,11211064
Start,789332337,Victor Matthys,Belgium,11211064
Stub,789375005,Michael Goblet d'Alviella,Belgium,11211064
Start,789444262,Antoine Duquesne,Belgium,11211064
Start,789664596,Olga Zrihen,Belgium,11211064
Start,790083358,Didier Reynders,Belgium,11211064
Start,790423203,Annemie Turtelboom,Belgium,11211064
Stub,790507586,Patrizia Busignani,Belgium,11211064
Start,790725344,"Marie Joseph Charles, 6th Duke d'Ursel",Belgium,11211064
Start,791178238,Bernard du Bus de Gisignies,Belgium,11211064
Stub,791206366,Bert Maertens,Belgium,11211064
Stub,791243653,Bert Wollants,Belgium,11211064
Stub,791242330,Ben Weyts,Belgium,11211064
Stub,791336951,Raoul Hedebouw,Belgium,11211064
Stub,791522290,Eudore Pirmez,Belgium,11211064
C,791479115,Alexis-Michel Eenens,Belgium,11211064
Start,792131207,Yoleen Van Camp,Belgium,11211064
Start,792290144,Édouard Descamps,Belgium,11211064
Start,792495719,Bruno Tobback,Belgium,11211064
Stub,792617589,Ferdinand de Baillet-Latour,Belgium,11211064
B,793568960,Jean Richardot,Belgium,11211064
Start,793569027,Pierre Roose,Belgium,11211064
Start,793569007,Engelbert Maes,Belgium,11211064
C,793844176,Eva Brems,Belgium,11211064
Start,793990027,Charles Liedts,Belgium,11211064
Start,793901823,Edward Anseele,Belgium,11211064
Stub,794073712,Jules de Trooz,Belgium,11211064
Stub,794073595,Frans Schollaert,Belgium,11211064
Stub,794068450,Henri Jaspar,Belgium,11211064
Start,794163805,Zuhal Demir,Belgium,11211064
Start,794292799,Jules d'Anethan,Belgium,11211064
Start,794196281,Edouard d'Huart,Belgium,11211064
Start,794338840,Miet Smet,Belgium,11211064
Stub,794184255,Christiane Vienne,Belgium,11211064
C,794415512,Barthélémy de Theux de Meylandt,Belgium,11211064
Start,794414395,Felix de Muelenaere,Belgium,11211064
Start,794673911,Frans Van Cauwelaert,Belgium,11211064
C,794840071,Maurice Lippens (politician),Belgium,11211064
Stub,795008531,Nahima Lanjri,Belgium,11211064
Stub,795444830,Willy Borsus,Belgium,11211064
Stub,795690953,Alexandra Colen,Belgium,11211064
Start,795820945,Antoine Brun,Belgium,11211064
Start,795920844,André Molitor,Belgium,11211064
Stub,796602005,Jules Mees,Belgium,11211064
Stub,796774321,Mike Verstraeten,Belgium,11211064
Stub,797025612,Alfons Siffer,Belgium,11211064
Start,797213149,Augustin Dumon-Dumortier,Belgium,11211064
Stub,797721465,André Jolly,Belgium,11211064
C,797688466,Marleen Temmerman,Belgium,11211064
Start,797709842,Gaston van de Werve et de Schilde,Belgium,11211064
Stub,797709708,"Gerald van de Werve, 5th Lord of Hovorst",Belgium,11211064
Start,797938391,Paul Magnette,Belgium,11211064
Start,797967437,André Vlerick,Belgium,11211064
Start,797938932,François Bellot,Belgium,11211064
Stub,797938315,Monique Willocq,Belgium,11211064
Stub,797938401,Jean-Claude Van Cauwenberghe,Belgium,11211064
Stub,797938853,Jean-Claude Marcourt,Belgium,11211064
Start,797938489,Jean Gol,Belgium,11211064
Start,797938482,Melchior Wathelet,Belgium,11211064
Stub,797938318,Marcel Cheron,Belgium,11211064
Start,798359532,Victor de Laveleye,Belgium,11211064
Stub,798419935,Johan Van Overtveldt,Belgium,11211064
C,798379997,Jean-Pierre Van Rossem,Belgium,11211064
Start,798843975,Daniel Ducarme,Belgium,11211064
Stub,798891964,Danielle Godderis-T'Jonck,Belgium,11211064
Start,799028396,Monica De Coninck,Belgium,11211064
Start,799213482,Helga Stevens,Belgium,11211064
Stub,799196288,Alfred Lecerf,Belgium,11211064
C,799356539,Jacques van Ypersele de Strihou,Belgium,11211064
Stub,799472850,Léonie Keingiaert de Gheluvelt,Belgium,11211064
Start,799470101,Herman De Croo,Belgium,11211064
C,799470164,Anne-Marie Lizin,Belgium,11211064
Stub,799472920,Émile Braun,Belgium,11211064
Stub,800023813,Dirk Claes,Belgium,11211064
Stub,800434354,Yvan Mayeur,Belgium,11211064
Stub,800738630,"Philippe-Ambroise d'Olmen, Baron de Poederlé",Belgium,11211064
Stub,800717061,Karolien Grosemans,Belgium,11211064
Stub,800779090,Alfred Gadenne,Belgium,11211064
Stub,800799504,François-Jean Wyns de Raucour,Belgium,11211064
Start,801007026,Bart Somers,Belgium,11211064
C,801240827,Wilfried Martens,Belgium,11211064
C,801241561,Father Samuel,Belgium,11211064
Start,801343044,Édouard André (consul),Belgium,11211064
Stub,801438916,Elke Roex,Belgium,11211064
Start,801504067,Edmond Leburton,Belgium,11211064
Start,801608022,Julius Vuylsteke,Belgium,11211064
Start,801678719,Carine Russo,Belgium,11211064
B,801693561,Herman Van Rompuy,Belgium,11211064
Stub,801946281,Erland Pison,Belgium,11211064
Stub,802166888,Tine Van Rompuy,Belgium,11211064
Start,802266201,Félix de Mérode,Belgium,11211064
C,802654248,Laurette Onkelinx,Belgium,11211064
Stub,802902760,Alfred Vanderstegen,Belgium,11211064
Stub,803140934,Siegfried Bracke,Belgium,11211064
Start,803190508,Geert Bourgeois,Belgium,11211064
Stub,803451151,Bertrand de Crombrugghe de Picquendaele,Belgium,11211064
C,803445253,"Eugène, 8th Prince of Ligne",Belgium,11211064
Start,803942872,Francis van Aarssens,Belgium,11211064
Start,804274911,Albert Coppé,Belgium,11211064
Stub,804554579,Auguste Couvreur,Belgium,11211064
Stub,804697981,Rudi Vervoort,Belgium,11211064
Stub,804818554,Johan Verstreken,Belgium,11211064
Start,804794826,Joëlle Milquet,Belgium,11211064
Stub,804939318,Veerle Wouters,Belgium,11211064
B,805121021,Gustave Rolin-Jaequemyns,Belgium,11211064
Stub,805162873,Meryame Kitir,Belgium,11211064
C,805273109,Philippe de Commines,Belgium,11211064
Start,805383198,Paul de Smet de Naeyer,Belgium,11211064
Start,805425661,Louis-Joseph Seutin,Belgium,11211064
Start,805511986,Albert Joseph Goblet d'Alviella,Belgium,11211064
C,805597760,Bart De Wever,Belgium,11211064
Stub,806079164,Joseph Bologne (politician),Belgium,11211064
Stub,806148939,Jacques Grippa,Belgium,11211064
Stub,806209048,Goedele Vermeiren,Belgium,11211064
Start,806208373,Petra De Sutter,Belgium,11211064
Start,806498397,Théophile de Lantsheere,Belgium,11211064
Start,806534627,Hippolyte d'Ursel,Belgium,11211064
Start,806571552,Maggie De Block,Belgium,11211064
C,806653220,Elio Di Rupo,Belgium,11211064
Stub,806835426,Joseph Van Crombrugghe,Belgium,11211064
Stub,807221197,Gwendolyn Rutten,Belgium,11211064
Start,807198658,Louis of Praet,Belgium,11211064
Stub,807234831,François Roelants du Vivier,Belgium,11211064
Start,807245163,Catherine Fonck,Belgium,11211064
Stub,807254112,Fernand Demets,Belgium,11211064
Start,807357497,Annemie Neyts-Uyttebroeck,Belgium,11211064
C,807468820,Jacques Brotchi,Belgium,11211064
